Site,Control System,Unit,Application Type,Application Instance,Points
"03458 BEAVERCREEK,OH",Control System,CX-300 1: CVS 03458,Lighting Control,OUTSIDE LTS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHT LEVEL IN, LIGHTS OUTPUT, LLEVIF OUT"
"03462 DAYTON,OH",Control System,CX-300 1: CVS 03462,Lighting Control,OUTSIDE LTS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT, LLEVIF OUT"
"04079 BALTIMORE,MD",Control System,CX-300 1: CVS 04079,Lighting Control,OUTSIDE LTS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT, LLEVIF OUT"
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,Lighting Control,OUTSIDE SIGNS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT, LLEVIF OUT"
"03458 BEAVERCREEK,OH",Control System,CX-300 1: CVS 03458,Lighting Control,OUTSIDE SIGNS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT, LLEVIF OUT"
"04078 AVON LAKE,OH",Control System,CX-300 1: CVS 04078,Lighting Control,OUTSIDE SIGNS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT, LLEVIF OUT"
"00125 NEW PROVIDENCE,NJ",Control System,CX-300 1: CVS 00125,Time Schedules,OVERNIGHT,OUTPUT
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,Time Schedules,OVERNIGHT,OUTPUT
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,Time Schedules,OVERNIGHT,OUTPUT
"02220 COVENTRY,CT",Control System,CX-300 1: CVS 02220,Time Schedules,OVERNIGHT,OUTPUT
"03462 DAYTON,OH",Control System,CX-300 1: CVS 03462,Time Schedules,OVERNIGHT,OUTPUT
"04078 AVON LAKE,OH",Control System,CX-300 1: CVS 04078,Time Schedules,OVERNIGHT,OUTPUT
"00125 NEW PROVIDENCE,NJ",Control System,CX-300 1: CVS 00125,HVAC Zones,PHARMACY,"OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,HVAC Zones,PHARMACY,"BYPASS TO OCC, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,HVAC Zones,PHARMACY,"BYPASS TO OCC, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"01743 SURPRISE,AZ",Control System,BX-300 1: CVS 01743,HVAC Zones,PHARMACY,"ENTHALPY OK, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,HVAC Zones,PHARMACY,"BYPASS TO OCC, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"02219 ROCKY HILL,CT",Control System,CX-300 1: CVS 02219,HVAC Zones,PHARMACY,"BYPASS TO OCC, ENTHALPY OK, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"03462 DAYTON,OH",Control System,CX-300 1: CVS 03462,HVAC Zones,PHARMACY,"BYPASS TO OCC, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"04078 AVON LAKE,OH",Control System,CX-300 1: CVS 04078,HVAC Zones,PHARMACY,"BYPASS TO OCC, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"04079 BALTIMORE,MD",Control System,CX-300 1: CVS 04079,HVAC Zones,PHARMACY,"BYPASS TO OCC, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,Lighting Control,PHARMACY LTS,LIGHTS OUTPUT
"04079 BALTIMORE,MD",Control System,CX-300 1: CVS 04079,Lighting Control,PHARMACY LTS,LIGHTS OUTPUT
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,ARTC/RTU Control,R1 FRONT,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"01743 SURPRISE,AZ",Control System,BX-300 1: CVS 01743,ARTC/RTU Control,R1 FRONT,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, MOD ECON, SPACE TEMP, SUPPLY TEMP"
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,ARTC/RTU Control,R1 FRONT,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"02220 COVENTRY,CT",Control System,CX-300 1: CVS 02220,ARTC/RTU Control,R1 FRONT,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, MOD ECON, SPACE TEMP, SUPPLY TEMP"
"03462 DAYTON,OH",Control System,CX-300 1: CVS 03462,ARTC/RTU Control,R1 FRONT,"AUX IN1 DIG, CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"04078 AVON LAKE,OH",Control System,CX-300 1: CVS 04078,ARTC/RTU Control,R1 FRONT,"AUX IN1 DIG, AUX IN2 DIG, CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"04079 BALTIMORE,MD",Control System,CX-300 1: CVS 04079,ARTC/RTU Control,R1 FRONT,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,ARTC/RTU Control,R1 FRONT R/MC,"AUX IN1 DIG, AUX IN2 ANL, CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"00125 NEW PROVIDENCE,NJ",Control System,CX-300 1: CVS 00125,ARTC/RTU Control,R1 RIGHT SALES,"CONTROL TEMP, COOL1, FAN, HEAT1, SPACE TEMP, SUPPLY TEMP"
"03462 DAYTON,OH",Control System,CX-300 1: CVS 03462,ARTC/RTU Control,R2 CENTER,"AUX IN1 ANL, AUX IN2 ANL, CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,ARTC/RTU Control,R2 CENTERFRONT,"AUX IN1 ANL, AUX IN2 ANL, CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"00125 NEW PROVIDENCE,NJ",Control System,CX-300 1: CVS 00125,ARTC/RTU Control,R2 LEFT SALES,"CONTROL TEMP, COOL1, FAN, HEAT1, SPACE TEMP, SUPPLY TEMP"
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,ARTC/RTU Control,R2 REAR,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"01743 SURPRISE,AZ",Control System,BX-300 1: CVS 01743,ARTC/RTU Control,R2 REAR,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, MOD ECON, SPACE TEMP, SUPPLY TEMP"
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,ARTC/RTU Control,R2 REAR,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"02220 COVENTRY,CT",Control System,CX-300 1: CVS 02220,ARTC/RTU Control,R2 REAR,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, MOD ECON, SPACE TEMP, SUPPLY TEMP"
"04079 BALTIMORE,MD",Control System,CX-300 1: CVS 04079,ARTC/RTU Control,R2 REAR,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"04078 AVON LAKE,OH",Control System,CX-300 1: CVS 04078,ARTC/RTU Control,R2 RX,"AUX IN1 ANL, AUX IN2 ANL, CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,ARTC/RTU Control,R3 FRONT LEFT,"AUX IN1 DIG, CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"03462 DAYTON,OH",Control System,CX-300 1: CVS 03462,ARTC/RTU Control,R3 REAR,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"01743 SURPRISE,AZ",Control System,BX-300 1: CVS 01743,ARTC/RTU Control,R3 RX,"CONTROL TEMP, COOL1, FAN, HEAT1, MOD ECON, SPACE TEMP, SUPPLY TEMP"
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,ARTC/RTU Control,R3 RX,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"04079 BALTIMORE,MD",Control System,CX-300 1: CVS 04079,ARTC/RTU Control,R3 RX,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"02220 COVENTRY,CT",Control System,CX-300 1: CVS 02220,ARTC/RTU Control,R3 RX/MC,"AUX IN1 ANL, CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, MOD ECON, SPACE TEMP, SUPPLY TEMP"
"00125 NEW PROVIDENCE,NJ",Control System,CX-300 1: CVS 00125,ARTC/RTU Control,R3 RX/STOCK,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,ARTC/RTU Control,R3 RX/STOCK,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,ARTC/RTU Control,R4 CENTER,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"03462 DAYTON,OH",Control System,CX-300 1: CVS 03462,ARTC/RTU Control,R4 RX,"AUX IN1 DIG, CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"01743 SURPRISE,AZ",Control System,BX-300 1: CVS 01743,ARTC/RTU Control,R4 STOCK,"CONTROL TEMP, COOL1, FAN, HEAT1, MOD ECON, SPACE TEMP, SUPPLY TEMP"
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,ARTC/RTU Control,R4 STOCK,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"02220 COVENTRY,CT",Control System,CX-300 1: CVS 02220,ARTC/RTU Control,R4 STOCK,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, MOD ECON, SPACE TEMP, SUPPLY TEMP"
"01743 SURPRISE,AZ",Control System,BX-300 1: CVS 01743,ARTC/RTU Control,R5 ENTRANCE,"CONTROL TEMP, COOL1, FAN, HEAT1, MOD ECON, SPACE TEMP, SUPPLY TEMP"
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,ARTC/RTU Control,R5 ENTRANCE,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,ARTC/RTU Control,R5 REAR LEFT,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, HEAT2, SPACE TEMP, SUPPLY TEMP"
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,ARTC/RTU Control,R6 REAR RIGHT,"CONTROL TEMP, COOL1, FAN, HEAT1, SPACE TEMP, SUPPLY TEMP"
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,ARTC/RTU Control,R7 RX,"CONTROL TEMP, COOL1, COOL2, FAN, HEAT1, SPACE TEMP, SUPPLY TEMP"
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,ARTC/RTU Control,R8 STOCK,"CONTROL TEMP, COOL1, FAN, HEAT1, SPACE TEMP, SUPPLY TEMP"
"00125 NEW PROVIDENCE,NJ",Control System,CX-300 1: CVS 00125,HVAC Zones,SALES,"BYPASS TO OCC, OUTDOOR TEMP, ZONE HUMIDITY"
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,HVAC Zones,SALES,"BYPASS TO OCC, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,HVAC Zones,SALES,"BYPASS TO OCC, OUTDOOR TEMP, ZONE HUMIDITY"
"01743 SURPRISE,AZ",Control System,BX-300 1: CVS 01743,HVAC Zones,SALES,"BYPASS TO OCC, ENTHALPY OK, OUTDOOR TEMP, ZONE HUMIDITY"
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,HVAC Zones,SALES,"BYPASS TO OCC, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"02219 ROCKY HILL,CT",Control System,CX-300 1: CVS 02219,HVAC Zones,SALES,"BYPASS TO OCC, ENTHALPY OK, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"03462 DAYTON,OH",Control System,CX-300 1: CVS 03462,HVAC Zones,SALES,"BYPASS TO OCC, OUTDOOR TEMP, ZONE HUMIDITY"
"04078 AVON LAKE,OH",Control System,CX-300 1: CVS 04078,HVAC Zones,SALES,"BYPASS TO OCC, OUTDOOR TEMP, ZONE HUMIDITY"
"04079 BALTIMORE,MD",Control System,CX-300 1: CVS 04079,HVAC Zones,SALES,"BYPASS TO OCC, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,Lighting Control,SALES LTS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT"
"01264 JAMAICA PLAIN,MA",Control System,CX-300 1: CVS 01264,Lighting Control,SALES LTS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT"
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,Lighting Control,SALES LTS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT"
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,Lighting Control,SALES LTS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT"
"03458 BEAVERCREEK,OH",Control System,CX-300 1: CVS 03458,Lighting Control,SALES LTS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT"
"03462 DAYTON,OH",Control System,CX-300 1: CVS 03462,Lighting Control,SALES LTS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT"
"04078 AVON LAKE,OH",Control System,CX-300 1: CVS 04078,Lighting Control,SALES LTS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT"
"04079 BALTIMORE,MD",Control System,CX-300 1: CVS 04079,Lighting Control,SALES LTS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT"
"00003 TABERNACLE,NJ",Control System,CX-300 1: CVS 00003,Digital Combiners,SCHEDULE COMB,OUTPUT
"01261 WINTER PARK,FL",Control System,CX-300 1: CVS 01261,Digital Combiners,SCHEDULE COMB,OUTPUT
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,Digital Combiners,SCHEDULE COMB,OUTPUT
"03458 BEAVERCREEK,OH",Control System,CX-300 1: CVS 03458,Digital Combiners,SCHEDULE COMB,OUTPUT
"03462 DAYTON,OH",Control System,CX-300 1: CVS 03462,Digital Combiners,SCHEDULE COMB,OUTPUT
"04078 AVON LAKE,OH",Control System,CX-300 1: CVS 04078,Digital Combiners,SCHEDULE COMB,OUTPUT
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,HVAC Zones,STOCK,"BYPASS TO OCC, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,HVAC Zones,STOCK,"BYPASS TO OCC, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"01743 SURPRISE,AZ",Control System,BX-300 1: CVS 01743,HVAC Zones,STOCK,"BYPASS TO OCC, ENTHALPY OK, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,HVAC Zones,STOCK,"BYPASS TO OCC, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"02219 ROCKY HILL,CT",Control System,CX-300 1: CVS 02219,HVAC Zones,STOCK,"BYPASS TO OCC, ENTHALPY OK, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"03462 DAYTON,OH",Control System,CX-300 1: CVS 03462,HVAC Zones,STOCK,"BYPASS TO OCC, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"04078 AVON LAKE,OH",Control System,CX-300 1: CVS 04078,HVAC Zones,STOCK,"BYPASS TO OCC, OCC STATE, OUTDOOR TEMP, ZONE HUM OUT, ZONE HUMIDITY, ZONE TEMP OUT"
"01744 PHOENIX,AZ",Control System,CX-300 1: CVS 01744,Lighting Control,WALL PACKS,"ALL LIGHTS ON, LIGHTS OUTPUT, LLEVIF OUT"
"03458 BEAVERCREEK,OH",Control System,CX-300 1: CVS 03458,Lighting Control,WALL PACKS,"ACTIVE SCHED, ALL LIGHTS ON, LIGHT LEVEL IN, LIGHTS OUTPUT, LLEVIF OUT"
"00129 HACKENSACK,NJ",Control System,CX-300 1: CVS 00129,Lighting Control,WATER HEATER,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT"
"01264 JAMAICA PLAIN,MA",Control System,CX-300 1: CVS 01264,Lighting Control,WATER HEATER,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT"
"01492 SILVER SPRING,MD",Control System,CX-300 1: CVS 01492,Lighting Control,WATER HEATER,LIGHTS OUTPUT
"03458 BEAVERCREEK,OH",Control System,CX-300 1: CVS 03458,Lighting Control,WATER HEATER,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT"
"03462 DAYTON,OH",Control System,CX-300 1: CVS 03462,Lighting Control,WATER HEATER,"ACTIVE SCHED, LIGHTS OUTPUT"
"04078 AVON LAKE,OH",Control System,CX-300 1: CVS 04078,Lighting Control,WATER HEATER,"ACTIVE SCHED, LIGHTS OUTPUT"
"04079 BALTIMORE,MD",Control System,CX-300 1: CVS 04079,Lighting Control,WATER HEATER,"ACTIVE SCHED, ALL LIGHTS ON, LIGHTS OUTPUT"